LOCATION,Country,Time,MGER,MFGER,MF SAP,MSAP,mpu,mfpu,fpu,fper,FSAP,FGER
BEN,Benin,2006,10.26739,6.81086,737425,370357,38025.99758,50224.98436,12198.98677,0.242886821,367068,3.323358825
BEN,Benin,2007,12.10635,8.13719,759230,381304,46161.9968,61779.98764,15617.99083,0.252800161,377926,4.132552624
BEN,Benin,2008,11.70601,8.04726,781757,392559,45952.9958,62910.01836,16957.02256,0.269544073,389198,4.356914105
BEN,Benin,2009,14.68724,10.23199,805337,404351,59388.00181,82402.00131,23013.99949,0.279289327,400986,5.739352369
BEN,Benin,2010,20.30728,13.77512,830352,416954,84672.01625,114381.9844,29709.96817,0.259743423,413398,7.186771143
BEN,Benin,2011,20.15385,12.85589,857047,430558,86774.01348,110181.0196,23407.00609,0.212441364,426489,5.488302416
BEN,Benin,2012,20.69445,13.95525,883438,444148,91913.98579,123285.9815,31371.99571,0.254465231,439290,7.141522846
BEN,Benin,2013,23.07001,15.96498,911144,458461,105766.9985,145463.9574,39696.95883,0.272898933,452683,8.769262117
BEN,Benin,2014,23.29549,15.95374,939673,473216,110237.986,149912.9873,39675.00131,0.26465353,466457,8.505607443
BEN,Benin,2015,19.26964,13.55354,968743,488250,94084.0173,131298.97,37214.9527,0.283436745,480493,7.745160221
BEN,Benin,2016,18.44806,13.20178,998517,503641,92911.99386,131822.0176,38910.02374,0.295170901,494876,7.862580473
BEN,Benin,2017,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
CIV,Côte d'Ivoire,2006,"""""","""""","""""",835771,"""""","""""","""""","""""","""""",""""""
CIV,Côte d'Ivoire,2007,12.27427,9.24186,1696326,851953,104571.0115,156772.0741,52201.06257,0.332974242,844373,6.182227827
CIV,Côte d'Ivoire,2008,11.28327,8.75439,1732514,870581,98230.0048,151671.0324,53441.02757,0.352348281,861933,6.200137084
CIV,Côte d'Ivoire,2009,11.26129,8.62271,1773179,891683,100415.0085,152896.083,52481.07444,0.34324669,881496,5.953637276
CIV,Côte d'Ivoire,2010,10.43869,7.9305,1819178,915498,95565.99818,144269.9113,48703.91311,0.337588848,903680,5.389508798
CIV,Côte d'Ivoire,2011,4.21611,3.53923,1871368,942408,39732.95793,66232.01767,26499.05974,0.400094406,928960,2.852551212
CIV,Côte d'Ivoire,2012,"""""",,,973229,#VALUE!,"""""",#VALUE!,#VALUE!,-973229,#VALUE!
CIV,Côte d'Ivoire,2013,10.42981,8.48597,1995658,1006250,104949.9631,169350.9392,64400.97606,0.380281186,989408,6.509041372
CIV,Côte d'Ivoire,2014,10.76413,8.55048,2064259,1041087,112063.9581,176504.0529,64440.09485,0.365091304,1023172,6.298070593
CIV,Côte d'Ivoire,2015,10.83797,9.02083,2136044,1077287,116756.0419,192688.898,75932.85609,0.394069699,1058757,7.171887042
CIV,Côte d'Ivoire,2016,10.77914,9.16049,2210678,1114671,120151.9476,202508.9371,82356.98949,0.406683234,1096007,7.514275866
CIV,Côte d'Ivoire,2017,"""""","""""","""""","""""","""""","""""",#VALUE!,#VALUE!,"""""",""""""
